City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Mabaruma,GY,8.2,-59.7833,72.72,97,69,4.36,broken clouds
336,Vazhiny,RU,60.9644,34.0222,22.6,97,98,4.63,overcast clouds
337,Antsohihy,MG,-14.8796,47.9875,91.71,56,4,3.27,clear sky
338,Aksu,CN,41.1231,80.2644,37.4,55,26,1.57,scattered clouds
339,Bull Savanna,JM,17.8868,-77.5902,69.89,86,14,6.44,few clouds
340,Avera,US,33.194,-82.5271,48.2,93,90,11.5,overcast clouds
341,Vanino,RU,49.0869,140.2543,-2.18,78,39,11.05,scattered clouds
342,Jitra,MY,6.2681,100.4217,89.6,58,20,8.05,few clouds
343,Araouane,ML,18.9048,-3.5265,74.39,16,41,12.62,scattered clouds
344,Goundam,ML,16.4145,-3.6708,78.93,15,21,13.13,few clouds
345,Sar-E Pul,AF,35.8333,66.1667,47.26,58,70,7.23,broken clouds
346,Saint Anthony,US,45.0205,-93.218,28.99,86,90,8.05,overcast clouds
347,Bud,US,39.447,-86.1758,35.01,98,100,14.99,snow
