City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Ballina,AU,2022-01-21 05:50:53,-28.8667,153.5667,77.18,83,89,18.5
197,Chuy,UY,2022-01-21 05:50:54,-33.6971,-53.4616,74.68,92,59,12.5
198,Faya,SA,2022-01-21 05:50:54,18.3851,42.4509,50.11,68,0,8.23
199,Lantawan,PH,2022-01-21 05:50:54,10.6167,123.9833,83.89,70,16,6.42
200,San Policarpo,PH,2022-01-21 05:50:55,12.1791,125.5072,79.92,82,95,9.66
201,Shipitsyno,RU,2022-01-21 05:50:55,61.2806,46.5208,19.44,91,100,9.75
202,Fuerte Olimpo,PY,2022-01-21 05:50:55,-21.0415,-57.8738,74.07,87,58,6.58
203,Saint Simons,US,2022-01-21 05:50:56,31.1352,-81.3901,60.03,95,90,5.75
204,Biak,ID,2022-01-21 05:50:56,-0.9131,122.8766,80.51,78,87,3.76
205,Ponta Do Sol,PT,2022-01-21 05:50:57,32.6667,-17.1,66.83,81,93,14.45
206,Karasjok,NO,2022-01-21 05:50:57,69.4719,25.5112,23.11,100,31,5.06
207,Kitgum,UG,2022-01-21 05:50:57,3.2783,32.8867,76.68,27,75,2.57
208,San Juan,AR,2022-01-21 05:48:18,-31.5375,-68.5364,78.76,55,0,6.93
209,Maua,BR,2022-01-21 05:47:32,-23.6678,-46.4614,72.09,91,45,1.95
210,Ko Samui,TH,2022-01-21 05:49:14,9.5357,99.9357,85.91,66,20,14.97
211,Semey,KZ,2022-01-21 05:50:58,50.4111,80.2275,3.42,78,0,2.24
212,Cabo San Lucas,MX,2022-01-21 05:50:59,22.8909,-109.9124,71.51,70,100,5.21
213,Tiksi,RU,2022-01-21 05:47:12,71.6872,128.8694,-15.45,96,49,7.74
214,Plettenberg Bay,ZA,2022-01-21 05:50:59,-34.0527,23.3716,69.82,79,18,4.7
215,Matelandia,BR,2022-01-21 05:50:59,-25.2408,-53.9964,73.76,71,45,3.29
216,Usinsk,RU,2022-01-21 05:51:01,65.9939,57.5281,15.12,94,100,20.6
217,Necochea,AR,2022-01-21 05:50:13,-38.5473,-58.7368,69.13,96,99,12.17
218,Iskateley,RU,2022-01-21 05:51:02,67.6803,53.1512,20.97,95,99,12.55
219,Mackay,AU,2022-01-21 05:51:02,-21.15,149.2,79.68,77,90,21.88
220,Ancud,CL,2022-01-21 05:51:02,-41.8697,-73.8203,54.23,90,33,7.43
221,Lebu,CL,2022-01-21 05:51:03,-37.6167,-73.65,51.64,87,0,5.53
222,Palmer,US,2022-01-21 05:51:03,42.1584,-72.3287,19.22,54,0,1.01
223,Bethel,US,2022-01-21 05:49:45,41.3712,-73.414,19.76,65,0,1.99
224,Marsa Matruh,EG,2022-01-21 05:51:04,31.3525,27.2453,49.19,63,17,9.71
225,Komsomolskiy,UZ,2022-01-21 05:51:04,40.4272,71.7189,41.72,56,0,2.3
226,Fairbanks,US,2022-01-21 05:51:05,64.8378,-147.7164,8.1,76,20,9.22
227,Rafaela,AR,2022-01-21 05:51:05,-31.2503,-61.4867,83.05,63,33,5.99
228,Yulara,AU,2022-01-21 05:51:06,-25.2406,130.9889,78.64,83,90,4.61
229,La Ronge,CA,2022-01-21 05:51:06,55.1001,-105.2842,16.05,92,90,3.44
230,Saint-Philippe,RE,2022-01-21 05:51:07,-21.3585,55.7679,81.99,78,56,13.06
231,Altea,ES,2022-01-21 05:51:07,38.5989,-0.0514,48.69,75,31,7.31
232,Pangnirtung,CA,2022-01-21 05:51:08,66.1451,-65.7125,-30.26,98,98,4.59
233,Torbay,CA,2022-01-21 05:51:08,47.6666,-52.7314,42.58,94,100,14.97
234,Vrangel,RU,2022-01-21 05:51:08,42.7297,133.0839,21.38,39,3,7.78
235,Kurchum,KZ,2022-01-21 05:51:09,48.5722,83.6542,3.76,93,88,2.93
236,Mnogovershinnyy,RU,2022-01-21 05:51:09,53.9353,139.9242,1.83,84,17,4.79
237,Kuna,US,2022-01-21 05:47:01,43.4918,-116.4201,33.84,95,100,1.99
238,Kuala Terengganu,MY,2022-01-21 05:51:09,5.3302,103.1408,85.95,70,20,5.75
239,Jawhar,SO,2022-01-21 05:51:10,2.7809,45.5005,81.36,51,57,19.33
240,Port Said,EG,2022-01-21 05:51:11,31.2565,32.2841,53.71,58,10,3.62
241,Ribeira Grande,PT,2022-01-21 05:51:11,38.5167,-28.7,62.15,81,97,12.03
242,Pacific Grove,US,2022-01-21 05:51:11,36.6177,-121.9166,53.55,89,0,1.01
243,Tamandare,BR,2022-01-21 05:51:11,-8.7597,-35.1047,77.81,83,9,5.88
244,Hamilton,US,2022-01-21 05:50:39,39.1834,-84.5333,22.39,62,100,1.99
245,Kirakira,SB,2022-01-21 05:51:12,-10.4544,161.9205,82.33,80,100,7.65
246,Tuatapere,NZ,2022-01-21 05:51:12,-46.1333,167.6833,57.81,74,60,9.37
247,Fuling,CN,2022-01-21 05:51:13,29.7022,107.3919,48.38,89,100,2.77
248,Husavik,IS,2022-01-21 05:51:13,66.0449,-17.3389,46.31,74,100,19.91
249,Castro,BR,2022-01-21 05:51:14,-24.7911,-50.0119,62.96,91,41,1.5
250,Itarema,BR,2022-01-21 05:51:14,-2.9248,-39.9167,76.84,88,79,9.55
251,Kelapa Sawit,MY,2022-01-21 05:51:14,1.6698,103.5327,89.71,58,40,9.22
252,Laguna,US,2022-01-21 05:49:59,38.421,-121.4238,55.96,91,1,0.0
253,Kavaratti,IN,2022-01-21 05:51:15,10.5669,72.642,80.69,68,98,5.48
254,Sept-Iles,CA,2022-01-21 05:51:02,50.2001,-66.3821,-4.95,63,0,1.99
255,Svetlogorsk,BY,2022-01-21 05:51:15,52.6333,29.7333,27.12,91,93,18.1
256,Waingapu,ID,2022-01-21 05:51:16,-9.6567,120.2641,83.71,67,100,14.61
257,Cape Town,ZA,2022-01-21 05:51:16,-33.9258,18.4232,68.11,73,0,1.99
258,Mecca,SA,2022-01-21 05:51:16,21.4267,39.8261,70.21,31,74,10.54
259,Roald,NO,2022-01-21 05:51:17,62.5833,6.1333,40.08,90,100,19.91
260,Sitka,US,2022-01-21 05:51:17,57.0531,-135.33,39.09,87,100,8.05
261,Bikin,RU,2022-01-21 05:51:18,46.8161,134.26,3.65,84,80,3.27
262,Vila Velha,BR,2022-01-21 05:51:18,-20.3297,-40.2925,76.95,89,75,2.3
263,Ayaviri,PE,2022-01-21 05:51:19,-14.8864,-70.5889,43.99,89,96,3.91
264,Lakatoro,VU,2022-01-21 05:51:19,-16.0999,167.4164,84.83,73,15,1.7
265,Dubbo,AU,2022-01-21 05:51:20,-32.25,148.6167,80.73,39,26,18.41
266,San Juan De Colon,VE,2022-01-21 05:51:20,8.0313,-72.2605,69.39,77,44,4.79
267,Sao Joao Da Barra,BR,2022-01-21 05:51:21,-21.6403,-41.0511,75.25,87,0,5.73
268,Tautira,PF,2022-01-21 05:51:21,-17.7333,-149.15,82.42,81,100,18.77
269,Taranagar,IN,2022-01-21 05:51:21,28.6709,75.0351,62.56,52,0,5.1
270,Samarai,PG,2022-01-21 05:51:22,-10.6167,150.6667,84.27,73,94,8.3
271,Outram,MY,2022-01-21 05:51:22,1.2829,103.8379,89.73,59,75,12.66
272,Clyde River,CA,2022-01-21 05:51:22,70.4692,-68.5914,-3.77,71,100,6.91
273,Talnakh,RU,2022-01-21 05:51:23,69.4865,88.3972,11.17,92,100,13.73
274,San Cristobal,VE,2022-01-21 05:51:23,7.7669,-72.225,68.18,79,53,2.62
275,Turukhansk,RU,2022-01-21 05:51:23,65.8167,87.9833,8.76,95,100,14.23
276,Isangel,VU,2022-01-21 05:51:24,-19.55,169.2667,86.11,84,100,2.3
277,Anadyr,RU,2022-01-21 05:51:24,64.75,177.4833,-32.01,73,20,11.01
278,Boralday,KZ,2022-01-21 05:51:25,43.3578,76.8594,28.26,93,100,6.71
279,Ambon,ID,2022-01-21 05:51:25,-3.6954,128.1814,89.74,58,40,6.91
280,Camargo,MX,2022-01-21 05:51:26,27.6667,-105.1667,40.87,47,37,4.88
281,Beaverlodge,CA,2022-01-21 05:51:26,55.2166,-119.4361,33.15,94,70,4.63
282,Prescott,US,2022-01-21 05:51:27,34.54,-112.4685,38.89,60,0,5.75
283,Eureka,US,2022-01-21 05:51:27,40.8021,-124.1637,52.41,80,95,8.99
284,Thinadhoo,MV,2022-01-21 05:51:27,0.5333,72.9333,81.14,75,100,9.6
285,Selma,US,2022-01-21 05:48:38,36.5708,-119.6121,49.08,68,9,3.2
286,Santa Cruz,BO,2022-01-21 05:51:28,-17.8,-63.1667,72.86,94,40,8.05
287,Vao,NC,2022-01-21 05:51:28,-22.6667,167.4833,76.95,86,100,17.56
288,Caarapo,BR,2022-01-21 05:51:28,-22.6342,-54.8222,68.09,89,23,4.61
289,Mersing,MY,2022-01-21 05:51:29,2.4312,103.8405,85.91,66,40,10.36
290,Honiara,SB,2022-01-21 05:51:30,-9.4333,159.95,80.44,88,99,7.11
291,Simpang,ID,2022-01-21 05:51:30,-1.2667,104.0833,83.44,72,64,6.85
292,Comodoro Rivadavia,AR,2022-01-21 05:49:04,-45.8667,-67.5,58.86,100,90,5.75
