City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Jaisalmer,IN,82.72,clear sky,26.9147,70.9181,Hotel Fifu
80,Rutana,BI,74.32,broken clouds,-3.8667,30.1,Failles des Allemands
81,Port Elizabeth,ZA,82.99,clear sky,-33.918,25.5701,39 On Nile Guest House
82,Neuquen,AR,60.8,moderate rain,-38.9516,-68.0591,Hotel del Comahue
83,Chimbote,PE,69.62,overcast clouds,-9.0853,-78.5783,Hotel Briliá
84,Kralendijk,BQ,75.2,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
85,Itarema,BR,78.85,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
86,Sainte-Maxime,FR,57.99,scattered clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
87,Encruzilhada Do Sul,BR,66.38,overcast clouds,-30.5439,-52.5219,Conceição Palace Hotel
88,Vila Franca Do Campo,PT,63.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
89,Hobyo,SO,80.96,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
90,Necochea,AR,57.0,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
91,Saint-Pierre,RE,89.6,light rain,-21.3393,55.4781,Lindsey Hôtel
92,Constitucion,CL,57.18,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
93,Lucea,JM,75.0,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
94,Corowa,AU,79.0,clear sky,-36.0333,146.3833,Statesman Motor Inn
95,Hualmay,PE,69.89,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
96,Boffa,GN,83.57,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
97,Chicama,PE,72.68,scattered clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
98,Makakilo City,US,73.4,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
99,Cidreira,BR,73.31,overcast clouds,-30.1811,-50.2056,Hotel Castelo
100,Kismayo,SO,82.62,clear sky,-0.3582,42.5454,Agan-Hotel
101,Hambantota,LK,87.8,scattered clouds,6.1241,81.1185,Bungalow 63
102,Dwarka,IN,76.51,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
103,Brokopondo,SR,75.45,scattered clouds,4.75,-55.1667,Matu Island
104,Acapulco,MX,74.03,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
105,Los Llanos De Aridane,ES,64.4,broken clouds,28.6585,-17.9182,Valle Aridane
106,Cayenne,GF,78.8,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
107,Taranto,IT,57.2,light rain,40.6167,17.25,Masseria Quis Ut Deus
108,Cockburn Town,TC,73.47,few clouds,21.4612,-71.1419,Osprey Beach Hotel
109,Terra Rica,BR,70.83,overcast clouds,-22.7094,-52.6169,Victor Hotel
110,Rawson,AR,62.29,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
111,Tecoanapa,MX,72.68,broken clouds,16.5167,-98.75,Hotel Manglares
112,Isla Mujeres,MX,77.0,clear sky,21.2311,-86.73100000000002,Hotel La Joya Isla Mujeres
113,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
114,Aswan,EG,72.95,clear sky,24.0934,32.907,Nuba Nile
115,Bandarbeyla,SO,77.2,few clouds,9.4942,50.8122,JABIR HOTEL
116,Port Moresby,PG,75.2,moderate rain,-9.4431,147.1797,Lamana Hotel
117,Buraydah,SA,64.4,clear sky,26.326,43.975,Mövenpick Hotel Qassim
118,Namibe,AO,77.0,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
119,Faya,SA,73.4,clear sky,18.3851,42.4509,مقبرة ال مجمل
120,Kloulklubed,PW,80.6,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
121,Manggar,ID,82.99,light rain,-2.8833,108.2667,Guest Hotel
122,East London,ZA,80.85,clear sky,-33.0153,27.9116,Tu Casa
123,Erzin,TR,55.0,scattered clouds,36.9559,36.2,Artemis Otel
124,Dingle,PH,75.45,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
125,Antalaha,MG,86.32,clear sky,-14.9003,50.2788,Hotel Vitasoa
126,La Palma,US,54.0,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
127,Copiapo,CL,62.6,overcast clouds,-27.3667,-70.3333,Antay Casino Hotel
128,Kaitangata,NZ,62.01,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
129,Bintulu,MY,84.2,scattered clouds,3.1667,113.0333,900 Boutique INN
130,Pativilca,PE,68.18,broken clouds,-10.7,-77.7833,HOSTAL PATIVILCA
131,Ishigaki,JP,68.0,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
132,Fiditi,NG,92.64,scattered clouds,7.7136,3.9172,"FBC Guest House, Fiditi"
133,Ulladulla,AU,66.99,overcast clouds,-35.35,150.4667,Sandpiper Motel
134,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
135,Praya,CV,73.4,clear sky,14.9215,-23.5087,LT Aparthotel
136,Winneba,GH,82.4,mist,5.3511,-0.6231,Windy Lodge & Beach Resort
137,Cabo San Lucas,MX,63.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
138,Ahipara,NZ,60.4,clear sky,-35.1667,173.1667,Ahipara Holiday Park
139,Mbandaka,CD,88.02,clear sky,0.0487,18.2603,Guest House Epervier
140,Lydenburg,ZA,73.81,moderate rain,-25.0978,30.4597,The Palms Boutique Hotel
